restaurantRating,restaurantName,restaurantAddress,restaurantCuisine,restaurantContact,restaurantBusinessHours,restaurantPricing,isHalal
4,Mantra Indian Cuisine,"Bayview Hotel, Georgetown, 10200 George Town, Penang",Indian ,04-261 5625,"{'Friday': '11 am to 10 pm', 'Saturday': '11 am to 10 pm', 'Sunday': '11 am to 10 pm', 'Monday': '11 am to 10 pm', 'Tuesday': '11 am to 10 pm', 'Wednesday': '11 am to 10 pm', 'Thursday': '11 am to 10 pm'}",2,No
4.8,Anamika Spice Kitchen,"8, Lintang Burma, Pulau Tikus, 10350 George Town, Pulau Pinang",Indian ,017-503 3423,"{'Friday': '11 am to 9 pm', 'Saturday': '11 am to 9 pm', 'Sunday': '11 am to 9 pm', 'Monday': 'Closed', 'Tuesday': '11 am to 9 pm', 'Wednesday': '11 am to 9 pm', 'Thursday': '11 am to 9 pm'}",1,No
4.2,d'Tandoor Restaurant Penang,"10-C-22, Precinct, 10, Jln Tanjong Tokong, 10470 Tanjung Tokong, Pulau Pinang",Indian ,019-430 2020,"{'Friday': '11 am to 10 pm', 'Saturday': '11 am to 10 pm', 'Sunday': '11 am to 10 pm', 'Monday': '11 am to 3 pm, 6 to 10 pm', 'Tuesday': '11 am to 3 pm, 6 to 10 pm', 'Wednesday': '11 am to 3 pm, 6 to 10 pm', 'Thursday': '11 am to 3 pm, 6 to 10 pm'}",3,Yes
4,Havana Kitchen (South Indian Restaurant),"F13, Gurney Walk, 18A, Persiaran Gurney, 10250 George Town, Pulau Pinang",Indian ,011-7226 9116,"{'Friday': '8 am to 10 pm', 'Saturday': '8 am to 10 pm', 'Sunday': '8 am to 10 pm', 'Monday': '8 am to 10 pm', 'Tuesday': '8 am to 10 pm', 'Wednesday': '8 am to 10 pm', 'Thursday': '8 am to 10 pm'}",2,No
4.6,"Rockafellers Straits Quay, Penang","3C-G-1, Straits Quay, Jalan Seri Tanjung Pinang Tanjung Tokong, 10470 Pulau Pinang",Indian ,011-2433 8966,"{'Friday': '12 pm to 1 am', 'Saturday': '12 pm to 1 am', 'Sunday': '12 pm to 1 am', 'Monday': '12 pm to 1 am', 'Tuesday': '12 pm to 1 am', 'Wednesday': '12 pm to 1 am', 'Thursday': '12 pm to 1 am'}",2,No
4.5,Bhai Biryani Penang,"119, King Street, George Town, 10200 George Town, Pulau Pinang",Indian ,012-958 1949,"{'Friday': '11 am to 11 pm', 'Saturday': '11 am to 11 pm', 'Sunday': '11 am to 11 pm', 'Monday': '11 am to 11 pm', 'Tuesday': '11 am to 11 pm', 'Wednesday': '11 am to 11 pm', 'Thursday': '11 am to 11 pm'}",2,Yes
3.9,Kashmir Restaurant,"105, Jln Penang, George Town, 10000 George Town, Pulau Pinang",Indian ,016-416 1601,"{'Friday': '11 am to 10 pm', 'Saturday': '11 am to 10 pm', 'Sunday': '4:30 to 10 pm', 'Monday': '11 am to 10 pm', 'Tuesday': '11 am to 10 pm', 'Wednesday': '11 am to 10 pm', 'Thursday': '11 am to 10 pm'}",3,No
4.3,Sardaarji - Flavours of Punjab,"6, Lebuh China, George Town, 10200 George Town, Pulau Pinang",Indian ,04-306 1902,"{'Friday': '11:30 am to 3 pm, 5 to 10 pm', 'Saturday': '11:30 am to 3 pm, 4 to 10 pm', 'Sunday': '11:30 am to 3 pm, 4 to 10 pm', 'Monday': '11:30 am to 3 pm, 5 to 10 pm', 'Tuesday': '11:30 am to 3 pm, 5 to 10 pm', 'Wednesday': '11:30 am to 3 pm, 5 to 10 pm', 'Thursday': '11:30 am to 3 pm, 5 to 10 pm'}",2,Yes
4.4,Masala Hut Authentic Indian Cuisine,"No. 1-1-31 Elit Avenue, Lintang Mayang Pasir 3, Bayan Baru, 11950 Bayan Lepas, Penang",Indian ,012-553 2497,"{'Friday': '11:30 am to 10 pm', 'Saturday': '11:30 am to 10 pm', 'Sunday': '11:30 am to 10 pm', 'Monday': 'Closed', 'Tuesday': '11:30 am to 10 pm', 'Wednesday': '11:30 am to 10 pm', 'Thursday': '11:30 am to 10 pm'}",2,Yes
3.7,Karaikudi Restaurant Bayan Baru,"Lintang Mayang Pasir 3, Elite Height, 11900 Bayan Lepas, Pulau Pinang",Indian ,04-375 3933,"{'Friday': '8 am to 3:30 pm, 5:30 to 10 pm', 'Saturday': '8 am to 3:30 pm, 5:30 to 10 pm', 'Sunday': '8 am to 3:30 pm, 5:30 to 10 pm', 'Monday': '8 am to 3:30 pm, 5:30 to 10 pm', 'Tuesday': '8 am to 3:30 pm, 5:30 to 10 pm', 'Wednesday': '8 am to 3:30 pm, 5:30 to 10 pm', 'Thursday': '8 am to 3:30 pm, 5:30 to 10 pm'}",2,No
